resultado,P0,P1,P10,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P11,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P12,P13,P14,P15,P16,P17,P18,P19,P2,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P3,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P4,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P5,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P6,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P7,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P8,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P9,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
Negativo,0,0,0,0,0,0,0,0,0,0,S107,0,0,0,0,0,0,S113,S114,0,0,0,0,0,0,S13,0,S15,0,0,0,0,0,0,0,S22,0,S24,0,0,S27,0,S29,0,0,0,0,S33,0,0,0,0,0,0,0,0,0,0,0,0,S45,S46,0,0,0,0,0,0,0,0,0,S55,0,0,0,0,0,S60,0,0,0,0,0,0,0,S68,0,0,0,0,S72,0,S74,0,0,S77,0,S79,0,0,S81,S82,0,0,S85,S86,0,0,0,0,0,0,0,0,0,0,S96,0,S98,0
Positivo,S0,S1,S10,S100,S101,S102,S103,S104,S105,S106,0,S108,S109,S11,S110,S111,S112,0,0,S115,S116,S117,S118,S119,S12,0,S14,0,S16,S17,S18,S19,S2,S20,S21,0,S23,0,S25,S26,0,S28,0,S3,S30,S31,S32,0,S34,S35,S36,S37,S38,S39,S4,S40,S41,S42,S43,S44,0,0,S47,S48,S49,S5,S50,S51,S52,S53,S54,0,S56,S57,S58,S59,S6,0,S61,S62,S63,S64,S65,S66,S67,0,S69,S7,S70,S71,0,S73,0,S75,S76,0,S78,0,S8,S80,0,0,S83,S84,0,0,S87,S88,S89,S9,S90,S91,S92,S93,S94,S95,0,S97,0,S99
